Rank,Name
1 ,Gavin McKenna (LW)
2 ,Ivar Stenberg (LW)
3 ,Chase Reid (RHD)
4 ,Keaton Verhoeff (RHD)
5 ,Carson Carels (LHD)
6 ,Caleb Malhotra (C)
7 ,Alberts Šmits (LHD)
8 ,Daxon Rudolph (RHD)
9 ,Viggo Björck (C)
10 ,Ryan Lin (RHD)
11 ,Tynan Lawrence (C)
12 ,Ethan Belchetz (LW)
13 ,Oscar Hemming (LW)
14 ,Liam Ruck (RW)
15 ,Adam Novotný (LW)
16 ,Xavier Villeneuve (LHD)
17 ,Oliver Suvanto (C)
18 ,Markus Ruck (C)
19 ,Nikita Klepov (RW)
20 ,Elton Hermansson (RW)
21 ,J.P. Hurlbert (LW)
22 ,Malte Gustafsson (LHD)
23 ,Juho Piiparinen (RHD)
24 ,Wyatt Cullen (LW)
25 ,William Håkansson (LHD)
26 ,Alexander Command (C)
27 ,Mathis Preston (RW)
28 ,Ilia Morozov (C)
29 ,Marcus Nordmark (LW)
30 ,Egor Shilov (C)
31 ,Maddox Dagenais (C)
32 ,Tomas Chrenko (C)
